City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Phuket,TH,85.12,few clouds,8.0,98.25,The Surin
8,Mana,GF,77.47,broken clouds,5.6592,-53.7767,LE SAMANA
9,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
11,Kavieng,PG,84.22,light rain,-2.5744,150.7967,Nusa Island Retreat
12,Tahta,EG,83.7,clear sky,26.7693,31.5021,فندق الزيات
16,Champerico,GT,81.5,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
19,Port Hueneme,US,87.24,scattered clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
23,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
25,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
28,Kawalu,ID,77.38,overcast clouds,-7.3817,108.2082,West Jontor
33,Varamin,IR,83.26,clear sky,35.3242,51.6457,Sepinood Hotel
34,Albany,US,75.58,clear sky,42.6001,-73.9662,
35,Jamestown,US,77.05,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
39,Kudus,ID,83.88,few clouds,-6.8048,110.8405,@HOM Hotel by Horison
43,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
44,Pacific Grove,US,76.24,broken clouds,36.6177,-121.9166,Lovers Point Inn
46,Sabha,LY,84.49,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
49,Gilbues,BR,75.18,scattered clouds,-9.8317,-45.3439,Hotel Camapuã
52,Semnan,IR,84.04,clear sky,35.5729,53.3971,Semnan Tourist Hotel
53,Butaritari,KI,81.77,few clouds,3.0707,172.7902,Isles Sunset Lodge
61,Baculin,PH,85.01,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
64,Faanui,PF,78.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
78,Biltine,TD,78.06,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
79,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
81,Keningau,MY,82.58,overcast clouds,5.3378,116.1602,Sabindo Hotel
90,Port Blair,IN,81.57,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
92,San Jose,US,89.22,clear sky,37.3394,-121.895,The Westin San Jose
98,Georgetown,MY,82.89,scattered clouds,5.4112,100.3354,Cititel Penang
102,Wattegama,LK,76.59,overcast clouds,6.7989,81.4808,
103,Xiuyan,CN,84.09,overcast clouds,40.2928,123.2744,Helin Holiday Hotel
106,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
107,Dingle,PH,82.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
108,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
109,Hithadhoo,MV,81.81,overcast clouds,-0.6,73.0833,Scoop Guest House
110,Boca Do Acre,BR,78.19,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
111,Dicamay,PH,82.8,overcast clouds,16.7561,122.0037,
112,Komsomolskiy,UZ,78.21,few clouds,40.4272,71.7189,Ikathouse
113,Papara,BR,77.68,few clouds,-3.9839,-38.7273,Bela vista Maranguape
114,Lompoc,US,82.54,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
115,Ternate,ID,83.17,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
116,Cordele,US,82.92,clear sky,31.9635,-83.7824,Ramada by Wyndham Cordele
121,San Fernando,PH,85.73,overcast clouds,15.0286,120.6898,Maharlika Hostel
123,Nizwa,OM,87.19,few clouds,22.9333,57.5333,Orient Apartments
124,Jiwani,PK,80.87,overcast clouds,25.05,61.7417,Hamza hotel jiwani
126,Kapaa,US,82.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
129,Cayenne,GF,83.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
130,Hurghada,EG,89.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
131,Dakoro,NE,75.49,light rain,14.5106,6.765,Shagon mai liverpool
132,Genhe,CN,84.29,broken clouds,50.7833,121.5167,Companionship Hotel
133,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
134,Tagusao,PH,84.74,overcast clouds,9.1924,117.8141,Caycay future beach resort
138,Acapulco,MX,80.91,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
139,Hilo,US,80.26,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
140,Ribeira Grande,PT,75.36,light rain,38.5167,-28.7,Quinta da Meia Eira
143,Chegdomyn,RU,77.61,broken clouds,51.1167,133.0167,Gostinitsa Bureya
145,Nalut,LY,82.8,clear sky,30.3333,10.85,
150,Hobyo,SO,75.54,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
151,Tateyama,JP,79.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
154,Atuona,PF,77.09,light rain,-9.8,-139.0333,Villa Enata
155,Tiruchchendur,IN,79.09,light rain,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
156,Lorengau,PG,83.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
157,Lastoursville,GA,76.51,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
163,Half Moon Bay,US,85.05,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
164,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
170,Titay,PH,83.01,scattered clouds,7.8125,122.5344,Lumbia Garden Resort
