WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Phuket,TH,8.0,98.25,85.12,100,20,9.22,few clouds
1,Rikitea,PF,-23.1203,-134.9692,71.82,72,93,18.7,overcast clouds
2,Faya,SA,18.3851,42.4509,63.12,72,100,5.84,overcast clouds
3,Saint-Francois,FR,46.4154,3.9054,65.68,77,0,1.14,clear sky
4,Lagoa,PT,39.05,-27.9833,73.98,90,15,4.9,light rain
5,Mahebourg,MU,-20.4081,57.7,68.29,73,40,5.75,scattered clouds
6,East London,ZA,-33.0153,27.9116,69.96,54,97,8.21,overcast clouds
7,Kaitangata,NZ,-46.2817,169.8464,55.02,60,59,5.1,broken clouds
8,Mana,GF,5.6592,-53.7767,77.47,89,69,8.48,broken clouds
9,Pangai,TO,-19.8,-174.35,80.71,74,20,17.27,few clouds
10,New Norfolk,AU,-42.7826,147.0587,61.92,51,3,9.17,clear sky
11,Kavieng,PG,-2.5744,150.7967,84.22,72,100,16.37,light rain
12,Tahta,EG,26.7693,31.5021,83.7,31,4,7.18,clear sky
13,Tilichiki,RU,60.4667,166.1,61.03,62,85,12.75,overcast clouds
14,Cherskiy,RU,68.75,161.3,45.93,76,100,13.47,overcast clouds
15,Constitucion,CL,-35.3333,-72.4167,46.63,88,1,6.22,clear sky
16,Champerico,GT,14.3,-91.9167,81.5,76,100,2.93,overcast clouds
17,Satuk,TR,41.2263,32.3836,62.01,95,27,2.15,scattered clouds
18,Ushuaia,AR,-54.8,-68.3,37.06,87,40,3.44,scattered clouds
19,Port Hueneme,US,34.1478,-119.1951,87.24,76,29,8.01,scattered clouds
20,Kajaani,FI,64.2273,27.7285,62.65,72,40,9.22,scattered clouds
21,Nikolskoye,RU,59.7035,30.7861,62.8,95,12,4.97,few clouds
22,Hobart,AU,-42.8794,147.3294,62.26,62,20,8.05,few clouds
23,Avarua,CK,-21.2078,-159.775,77.05,61,40,10.36,scattered clouds
24,Alta Floresta,BR,-9.8756,-56.0861,74.84,42,22,2.3,few clouds
25,Bathsheba,BB,13.2167,-59.5167,83.01,89,40,19.57,scattered clouds
26,Busselton,AU,-33.65,115.3333,54.3,69,99,14.81,overcast clouds
27,Lages,BR,-27.8161,-50.3261,58.68,92,83,4.99,broken clouds
28,Kawalu,ID,-7.3817,108.2082,77.38,81,94,3.56,overcast clouds
29,Mataura,NZ,-46.1927,168.8643,57.47,61,29,7.74,scattered clouds
30,Ukiah,US,39.1502,-123.2078,94.37,40,49,3.0,scattered clouds
31,Esperance,AU,-33.8667,121.9,53.44,70,95,31.85,overcast clouds
32,Upington,ZA,-28.4478,21.2561,48.58,93,0,0.0,clear sky
33,Varamin,IR,35.3242,51.6457,83.26,21,6,11.05,clear sky
34,Albany,US,42.6001,-73.9662,75.58,69,0,2.48,clear sky
35,Jamestown,US,42.097,-79.2353,77.05,48,100,3.96,overcast clouds
36,Uhlove,UA,44.8215,33.6045,68.02,80,0,4.88,clear sky
37,Pevek,RU,69.7008,170.3133,34.99,97,100,11.9,overcast clouds
38,Vaini,TO,-21.2,-175.2,80.76,89,40,10.36,scattered clouds
39,Kudus,ID,-6.8048,110.8405,83.88,63,14,8.55,few clouds
40,Upernavik,GL,72.7868,-56.1549,41.29,80,7,9.84,clear sky
