City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,72.07,72,65,16.28,PF,2022-08-03 23:46:42
1,Georgetown,5.4112,100.3354,78.89,93,40,3.44,MY,2022-08-03 23:46:43
2,Malanje,-9.5402,16.341,67.01,56,67,4.09,AO,2022-08-03 23:46:43
3,Pevek,69.7008,170.3133,35.2,98,100,9.15,RU,2022-08-03 23:46:43
4,Hermanus,-34.4187,19.2345,53.8,84,3,11.59,ZA,2022-08-03 23:46:44
5,Dikson,73.5069,80.5464,43.38,97,100,9.17,RU,2022-08-03 23:46:44
6,Erzin,36.9559,36.2,77.65,90,35,1.05,TR,2022-08-03 23:46:44
7,Punta Arenas,-53.15,-70.9167,39.31,87,100,13.8,CL,2022-08-03 23:46:45
8,Bilma,18.6853,12.9164,89.73,40,41,10.74,NE,2022-08-03 23:46:45
9,San Patricio,28.017,-97.5169,95.54,54,32,21.32,US,2022-08-03 23:46:46
10,Ushuaia,-54.8,-68.3,37.06,87,40,3.44,AR,2022-08-03 23:46:46
11,Puerto Escondido,15.85,-97.0667,84.83,74,52,4.09,MX,2022-08-03 23:46:46
12,Avarua,-21.2078,-159.775,77.05,61,87,14.97,CK,2022-08-03 23:46:47
13,Kieta,-6.2167,155.6333,83.79,71,85,6.93,PG,2022-08-03 23:46:47
14,Nanortalik,60.1432,-45.2371,49.15,97,100,23.31,GL,2022-08-03 23:46:48
15,Bredasdorp,-34.5322,20.0403,47.16,93,7,6.35,ZA,2022-08-03 23:46:48
16,Busselton,-33.65,115.3333,52.86,70,78,13.56,AU,2022-08-03 23:46:49
17,Ribeira Grande,38.5167,-28.7,75.72,88,18,5.68,PT,2022-08-03 23:46:49
18,Sanguem,15.2333,74.1667,76.48,97,100,1.16,IN,2022-08-03 23:46:49
19,Touros,-5.1989,-35.4608,75.76,84,22,5.53,BR,2022-08-03 23:46:50
20,Longyearbyen,78.2186,15.6401,49.84,81,75,9.22,SJ,2022-08-03 23:46:50
21,Fort Nelson,58.8053,-122.7002,56.79,88,75,5.75,CA,2022-08-03 23:46:51
22,Kavieng,-2.5744,150.7967,83.28,76,96,17.2,PG,2022-08-03 23:46:51
23,Vrangel,42.7297,133.0839,73.62,91,84,3.87,RU,2022-08-03 23:46:51
24,Puerto Ayora,-0.7393,-90.3518,70.56,84,91,10.0,EC,2022-08-03 23:43:03
25,Jamestown,42.097,-79.2353,85.64,48,0,11.5,US,2022-08-03 23:46:52
26,Yulara,-25.2406,130.9889,62.35,42,62,14.18,AU,2022-08-03 23:46:52
27,Thompson,55.7435,-97.8558,62.76,48,75,9.22,CA,2022-08-03 23:46:52
28,Aklavik,68.2191,-135.0107,64.4,59,40,0.0,CA,2022-08-03 23:46:53
29,Pedregulho,-20.2569,-47.4767,67.96,38,36,4.76,BR,2022-08-03 23:46:53
30,Kristiinankaupunki,62.2743,21.376,63.09,94,77,20.69,FI,2022-08-03 23:46:53
31,Yeppoon,-23.1333,150.7333,67.78,76,10,8.41,AU,2022-08-03 23:46:54
32,Saint Anthony,45.0205,-93.218,80.82,53,20,17.27,US,2022-08-03 23:46:54
33,Chumikan,54.7183,135.315,54.61,96,100,1.07,RU,2022-08-03 23:46:54
34,Castro,-24.7911,-50.0119,59.76,69,3,4.07,BR,2022-08-03 23:46:55
35,Atuona,-9.8,-139.0333,77.36,81,15,14.05,PF,2022-08-03 23:46:55
36,Sao Filipe,14.8961,-24.4956,77.18,86,75,3.67,CV,2022-08-03 23:46:55
37,Makubetsu,45.3714,141.8211,69.51,94,75,5.75,JP,2022-08-03 23:46:56
38,Bengkulu,-3.8004,102.2655,74.46,92,96,3.36,ID,2022-08-03 23:46:56
39,Kursumlija,43.1458,21.2686,66.16,58,1,4.07,RS,2022-08-03 23:46:57
40,Buseresere,-3.0236,31.8747,66.83,55,31,4.09,TZ,2022-08-03 23:46:57
